ID_T,ID_C_T,RANK_T,PRIZE_T,LATITUDE_T,LONGITUDE_T,TYPE_T_1,TYPE_T_2,TYPE_T_3,TYPE_T_4,TYPE_T_5,TYPE_T_6
132,2,2,2406.941653260699,52.22,4.54,0,1,0,0,0,0
133,1,3,2406.941653260699,43.39,-79.23,1,0,0,0,0,0
134,1,3,2406.941653260699,39.1,-84.27,1,0,0,0,0,0
135,2,2,2406.941653260699,43.55,12.28,0,1,0,0,0,0
136,1,2,2406.941653260699,39.46,-86.09,1,0,0,0,0,0
137,1,2,2406.941653260699,41.18,-72.56,1,0,0,0,0,0
138,1,2,2406.941653260699,42.22,-71.04,1,0,0,0,0,0
139,1,2,2406.941653260699,40.5,-73.0,1,0,0,0,0,0
140,1,4,2406.941653260699,40.43,-74.0,1,0,0,0,0,0
141,2,2,2406.941653260699,50.43,-1.54,0,1,0,0,0,0
142,2,2,2406.941653260699,44.26,26.06,0,1,0,0,0,0
143,1,2,2406.941653260699,41.2,69.18,1,0,0,0,0,0
144,2,2,2406.941653260699,39.3,3.0,0,1,0,0,0,0
146,1,2,2406.941653260699,43.36,1.26,1,0,0,0,0,0
147,4,2,2406.941653260699,47.33,7.35,0,0,0,1,0,0
148,2,2,2406.941653260699,38.07,13.22,0,1,0,0,0,0
149,1,2,2406.941653260699,31.14,121.28,1,0,0,0,0,0
150,4,2,2406.941653260699,1.16,103.51,0,0,0,1,0,0
151,4,2,2406.941653260699,48.13,16.2,0,0,0,1,0,0
152,4,2,2406.941653260699,45.45,4.51,0,0,0,1,0,0
153,4,2,2406.941653260699,49.5,18.17,0,0,0,1,0,0
154,2,2,2406.941653260699,19.24,-99.09,0,1,0,0,0,0
155,4,3,2406.941653260699,48.46,9.11,0,0,0,1,0,0
156,2,2,2406.941653260699,4.36,-74.05,0,1,0,0,0,0
157,4,3,2406.941653260699,48.52,2.2,0,0,0,1,0,0
158,4,2,2406.941653260699,55.45,37.35,0,0,0,1,0,0
159,2,2,2406.941653260699,-33.27,-70.4,0,1,0,0,0,0
160,3,2,2406.941653260699,59.2,18.03,0,0,1,0,0,0
161,3,3,2406.941653260699,52.24,9.44,0,0,1,0,0,0
162,1,2,2406.941653260699,-34.55,138.35,1,0,0,0,0,0
163,1,2,2406.941653260699,25.17,51.32,1,0,0,0,0,0
164,1,2,2406.941653260699,-36.52,174.46,1,0,0,0,0,0
165,1,2,2406.941653260699,-33.52,151.13,1,0,0,0,0,0
166,1,4,2406.941653260699,-37.49,144.58,1,0,0,0,0,0
167,3,2,2406.941653260699,43.18,5.24,0,0,1,0,0,0
168,1,2,2406.941653260699,25.18,55.18,1,0,0,0,0,0
169,3,2,2406.941653260699,37.2,-121.54,0,0,1,0,0,0
170,4,2,2406.941653260699,59.55,30.15,0,0,0,1,0,0
171,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
172,4,2,2406.941653260699,51.55,4.29,0,0,0,1,0,0
173,4,2,2406.941653260699,51.3,-0.1,0,0,0,1,0,0
174,4,2,2406.941653260699,55.4,12.35,0,0,0,1,0,0
175,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
176,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
177,1,3,2406.941653260699,25.42,-80.1,1,0,0,0,0,0
178,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
179,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
180,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
181,1,2,2406.941653260699,22.17,114.09,1,0,0,0,0,0
182,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
183,1,2,2406.941653260699,35.42,139.46,1,0,0,0,0,0
184,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
185,2,2,2406.941653260699,28.32,-81.23,0,1,0,0,0,0
186,2,2,2406.941653260699,33.45,-84.23,0,1,0,0,0,0
187,2,2,2406.941653260699,48.08,11.34,0,1,0,0,0,0
188,2,2,2406.941653260699,50.05,14.26,0,1,0,0,0,0
189,2,2,2406.941653260699,26.28,-80.04,0,1,0,0,0,0
190,2,3,2406.941653260699,53.33,9.59,0,1,0,0,0,0
191,2,3,2406.941653260699,41.54,12.29,0,1,0,0,0,0
192,2,2,2406.941653260699,48.12,15.37,0,1,0,0,0,0
194,2,4,2406.941653260699,48.52,2.2,0,1,0,0,0,0
195,5,2,2406.941653260699,51.59,9.33,0,0,0,0,1,0
196,5,2,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
197,2,2,2406.941653260699,46.4,11.09,0,1,0,0,0,0
198,5,2,2406.941653260699,52.58,-1.1,0,0,0,0,1,0
199,5,2,2406.941653260699,51.42,5.19,0,0,0,0,1,0
200,5,4,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
201,2,2,2406.941653260699,56.26,12.51,0,1,0,0,0,0
202,2,2,2406.941653260699,46.28,7.17,0,1,0,0,0,0
203,5,2,2406.941653260699,41.29,-71.19,0,0,0,0,1,0
204,2,2,2406.941653260699,48.46,9.11,0,1,0,0,0,0
205,2,2,2406.941653260699,47.27,12.23,0,1,0,0,0,0
206,1,2,2406.941653260699,34.03,-118.15,1,0,0,0,0,0
207,2,2,2406.941653260699,45.25,13.32,0,1,0,0,0,0
208,2,2,2406.941653260699,52.22,4.54,0,1,0,0,0,0
209,1,3,2406.941653260699,45.31,-73.34,1,0,0,0,0,0
210,1,3,2406.941653260699,39.1,-84.27,1,0,0,0,0,0
211,2,2,2406.941653260699,43.55,12.28,0,1,0,0,0,0
212,1,2,2406.941653260699,39.46,-86.09,1,0,0,0,0,0
213,1,2,2406.941653260699,38.54,-77.02,1,0,0,0,0,0
214,1,2,2406.941653260699,42.22,-71.04,1,0,0,0,0,0
215,1,2,2406.941653260699,40.5,-73.0,1,0,0,0,0,0
216,1,4,2406.941653260699,40.43,-74.0,1,0,0,0,0,0
217,2,2,2406.941653260699,50.43,-1.54,0,1,0,0,0,0
218,2,2,2406.941653260699,39.3,3.0,0,1,0,0,0,0
219,1,2,2406.941653260699,41.2,69.18,1,0,0,0,0,0
220,2,2,2406.941653260699,44.26,26.06,0,1,0,0,0,0
222,3,2,2406.941653260699,43.36,1.26,0,0,1,0,0,0
223,4,2,2406.941653260699,47.33,7.35,0,0,0,1,0,0
224,2,2,2406.941653260699,38.07,13.22,0,1,0,0,0,0
225,1,2,2406.941653260699,31.14,121.28,1,0,0,0,0,0
226,3,2,2406.941653260699,1.16,103.51,0,0,1,0,0,0
227,4,2,2406.941653260699,48.13,16.2,0,0,0,1,0,0
228,4,2,2406.941653260699,45.45,4.51,0,0,0,1,0,0
229,3,3,2406.941653260699,48.46,9.11,0,0,1,0,0,0
230,4,3,2406.941653260699,48.52,2.2,0,0,0,1,0,0
231,4,2,2406.941653260699,55.45,37.35,0,0,0,1,0,0
232,3,2,2406.941653260699,59.2,18.03,0,0,1,0,0,0
233,3,3,2406.941653260699,52.24,9.44,0,0,1,0,0,0
234,1,2,2406.941653260699,-34.55,138.35,1,0,0,0,0,0
235,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
236,1,2,2406.941653260699,25.17,51.32,1,0,0,0,0,0
237,1,2,2406.941653260699,-36.52,174.46,1,0,0,0,0,0
238,1,2,2406.941653260699,-33.52,151.13,1,0,0,0,0,0
239,1,4,2406.941653260699,-37.49,144.58,1,0,0,0,0,0
240,1,2,2406.941653260699,25.18,55.18,1,0,0,0,0,0
241,3,2,2406.941653260699,43.18,5.24,0,0,1,0,0,0
242,3,2,2406.941653260699,37.2,-121.54,0,0,1,0,0,0
243,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
244,4,2,2406.941653260699,51.55,4.29,0,0,0,1,0,0
245,3,2,2406.941653260699,51.3,-0.1,0,0,1,0,0,0
246,2,2,2406.941653260699,19.24,-99.09,0,1,0,0,0,0
247,3,2,2406.941653260699,55.4,12.35,0,0,1,0,0,0
248,1,2,2406.941653260699,26.28,-80.04,1,0,0,0,0,0
249,2,2,2406.941653260699,-33.27,-70.4,0,1,0,0,0,0
250,2,2,2406.941653260699,4.36,-74.05,0,1,0,0,0,0
